gen_tech,load_zones,period,planned_capacity_mw
Hydro_Pumped,Anhui,2023,620.0
Hydro_Pumped,East_Inner_Mongolia,2023,0.0
Hydro_Pumped,Fujian,2023,1105.0
Hydro_Pumped,Gansu,2023,1835.0
Hydro_Pumped,Guangdong,2023,2620.0
Hydro_Pumped,Guangxi,2023,1720.0
Hydro_Pumped,Hebei,2023,1260.0
Hydro_Pumped,Heilongjiang,2023,1320.0
Hydro_Pumped,Henan,2023,1090.0
Hydro_Pumped,Hubei,2023,0.0
Hydro_Pumped,Hunan,2023,2160.0
Hydro_Pumped,Jiangsu,2023,600.0
Hydro_Pumped,Jilin,2023,1160.0
Hydro_Pumped,Liaoning,2023,1050.0
Hydro_Pumped,Shandong,2023,298.0
Hydro_Pumped,Shanxi,2023,770.0
Hydro_Pumped,Sichuan,2023,1889.0
Hydro_Pumped,Tianjin,2023,0.0
Hydro_Pumped,Zhejiang,2023,2149.5
Hydro_Pumped,Chongqing,2023,500.0
Hydro_Pumped,Jiangxi,2023,720.0
Hydro_Pumped,Ningxia,2023,0.0
Hydro_Pumped,Shaanxi,2023,1382.0
Hydro_Pumped,West_Inner_Mongolia,2023,750.0
Hydro_Pumped,Xinjiang,2023,1620.0
Hydro_Pumped,Guizhou,2023,1385.0
Hydro_Pumped,Qinghai,2023,580.0
Hydro_Pumped,Yunnan,2023,1330.0
Hydro_Pumped,Hainan,2023,240.0
Hydro_Pumped,Beijing,2023,0.0
Hydro_Pumped,Tibet,2023,0.0
Hydro_Pumped,Anhui,2028,1240.0
Hydro_Pumped,East_Inner_Mongolia,2028,0.0
Hydro_Pumped,Fujian,2028,2210.0
Hydro_Pumped,Gansu,2028,3670.0
Hydro_Pumped,Guangdong,2028,5240.0
Hydro_Pumped,Guangxi,2028,3440.0
Hydro_Pumped,Hebei,2028,2520.0
Hydro_Pumped,Heilongjiang,2028,2640.0
Hydro_Pumped,Henan,2028,2180.0
Hydro_Pumped,Hubei,2028,0.0
Hydro_Pumped,Hunan,2028,4320.0
Hydro_Pumped,Jiangsu,2028,1200.0
Hydro_Pumped,Jilin,2028,2320.0
Hydro_Pumped,Liaoning,2028,2100.0
Hydro_Pumped,Shandong,2028,596.0
Hydro_Pumped,Shanxi,2028,1540.0
Hydro_Pumped,Sichuan,2028,3778.0
Hydro_Pumped,Tianjin,2028,0.0
Hydro_Pumped,Zhejiang,2028,4299.0
Hydro_Pumped,Chongqing,2028,1000.0
Hydro_Pumped,Jiangxi,2028,1440.0
Hydro_Pumped,Ningxia,2028,0.0
Hydro_Pumped,Shaanxi,2028,2764.0
Hydro_Pumped,West_Inner_Mongolia,2028,1500.0
Hydro_Pumped,Xinjiang,2028,3240.0
Hydro_Pumped,Guizhou,2028,2770.0
Hydro_Pumped,Qinghai,2028,1160.0
Hydro_Pumped,Yunnan,2028,2660.0
Hydro_Pumped,Hainan,2028,480.0
Hydro_Pumped,Beijing,2028,0.0
Hydro_Pumped,Tibet,2028,0.0
Hydro_Pumped,Anhui,2033,2066.666667
Hydro_Pumped,East_Inner_Mongolia,2033,0.0
Hydro_Pumped,Fujian,2033,3683.333333
Hydro_Pumped,Gansu,2033,6116.666667
Hydro_Pumped,Guangdong,2033,8733.333333
Hydro_Pumped,Guangxi,2033,5733.333333
Hydro_Pumped,Hebei,2033,4200.0
Hydro_Pumped,Heilongjiang,2033,4400.0
Hydro_Pumped,Henan,2033,3633.333333
Hydro_Pumped,Hubei,2033,0.0
Hydro_Pumped,Hunan,2033,7200.0
Hydro_Pumped,Jiangsu,2033,2000.0
Hydro_Pumped,Jilin,2033,3866.666667
Hydro_Pumped,Liaoning,2033,3500.0
Hydro_Pumped,Shandong,2033,993.3333333
Hydro_Pumped,Shanxi,2033,2566.666667
Hydro_Pumped,Sichuan,2033,6296.666667
Hydro_Pumped,Tianjin,2033,0.0
Hydro_Pumped,Zhejiang,2033,7165.0
Hydro_Pumped,Chongqing,2033,1666.666667
Hydro_Pumped,Jiangxi,2033,2400.0
Hydro_Pumped,Ningxia,2033,0.0
Hydro_Pumped,Shaanxi,2033,4606.666667
Hydro_Pumped,West_Inner_Mongolia,2033,2500.0
Hydro_Pumped,Xinjiang,2033,5400.0
Hydro_Pumped,Guizhou,2033,4616.666667
Hydro_Pumped,Qinghai,2033,1933.333333
Hydro_Pumped,Yunnan,2033,4433.333333
Hydro_Pumped,Hainan,2033,800.0
Hydro_Pumped,Beijing,2033,0.0
Hydro_Pumped,Tibet,2033,0.0
Hydro_Pumped,Anhui,2038,3100.0
Hydro_Pumped,East_Inner_Mongolia,2038,0.0
Hydro_Pumped,Fujian,2038,5525.0
Hydro_Pumped,Gansu,2038,9175.0
Hydro_Pumped,Guangdong,2038,13100.0
Hydro_Pumped,Guangxi,2038,8600.0
Hydro_Pumped,Hebei,2038,6300.0
Hydro_Pumped,Heilongjiang,2038,6600.0
Hydro_Pumped,Henan,2038,5450.0
Hydro_Pumped,Hubei,2038,0.0
Hydro_Pumped,Hunan,2038,10800.0
Hydro_Pumped,Jiangsu,2038,3000.0
Hydro_Pumped,Jilin,2038,5800.0
Hydro_Pumped,Liaoning,2038,5250.0
Hydro_Pumped,Shandong,2038,1490.0
Hydro_Pumped,Shanxi,2038,3850.0
Hydro_Pumped,Sichuan,2038,9445.0
Hydro_Pumped,Tianjin,2038,0.0
Hydro_Pumped,Zhejiang,2038,10747.5
Hydro_Pumped,Chongqing,2038,2500.0
Hydro_Pumped,Jiangxi,2038,3600.0
Hydro_Pumped,Ningxia,2038,0.0
Hydro_Pumped,Shaanxi,2038,6910.0
Hydro_Pumped,West_Inner_Mongolia,2038,3750.0
