GENERATION_PROJECT,build_year,install_year,ccs_overnight_cost,ccs_fixed_om
Anhui-Biomass,2007,2023,715982.142857143,54000.0
Anhui-Biomass,2007,2028,572785.7142857144,43200.0
Anhui-Biomass,2007,2033,458228.5714285716,34560.0
Anhui-Biomass,2007,2038,366582.8571428573,27648.0
Anhui-Biomass,2012,2023,715982.142857143,54000.0
Anhui-Biomass,2012,2028,572785.7142857144,43200.0
Anhui-Biomass,2012,2033,458228.5714285716,34560.0
Anhui-Biomass,2012,2038,366582.8571428573,27648.0
Anhui-Biomass,2012,2043,329924.57142857154,24883.2
Anhui-Biomass,2017,2023,715982.142857143,54000.0
Anhui-Biomass,2017,2028,572785.7142857144,43200.0
Anhui-Biomass,2017,2033,458228.5714285716,34560.0
Anhui-Biomass,2017,2038,366582.8571428573,27648.0
Anhui-Biomass,2017,2043,329924.57142857154,24883.2
Anhui-Biomass,2017,2048,296932.1142857144,22394.88
Anhui-Coal,1987,2023,381857.14285714296,20700.0
Anhui-Coal,1992,2023,381857.14285714296,20700.0
Anhui-Coal,1992,2028,305485.7142857144,16560.0
Anhui-Coal,1997,2023,381857.14285714296,20700.0
Anhui-Coal,1997,2028,305485.7142857144,16560.0
Anhui-Coal,1997,2033,244388.5714285715,13248.0
Anhui-Coal,2002,2023,381857.14285714296,20700.0
Anhui-Coal,2002,2028,305485.7142857144,16560.0
Anhui-Coal,2002,2033,244388.5714285715,13248.0
Anhui-Coal,2002,2038,195510.85714285722,10598.400000000001
Anhui-Coal,2007,2023,381857.14285714296,20700.0
Anhui-Coal,2007,2028,305485.7142857144,16560.0
Anhui-Coal,2007,2033,244388.5714285715,13248.0
Anhui-Coal,2007,2038,195510.85714285722,10598.400000000001
Anhui-Coal,2007,2043,175959.7714285715,9538.560000000001
Anhui-Coal,2012,2023,381857.14285714296,20700.0
Anhui-Coal,2012,2028,305485.7142857144,16560.0
Anhui-Coal,2012,2033,244388.5714285715,13248.0
Anhui-Coal,2012,2038,195510.85714285722,10598.400000000001
Anhui-Coal,2012,2043,175959.7714285715,9538.560000000001
Anhui-Coal,2012,2048,158363.79428571434,8584.704000000002
Anhui-Coal,2017,2023,381857.14285714296,20700.0
Anhui-Coal,2017,2028,305485.7142857144,16560.0
Anhui-Coal,2017,2033,244388.5714285715,13248.0
Anhui-Coal,2017,2038,195510.85714285722,10598.400000000001
Anhui-Coal,2017,2043,175959.7714285715,9538.560000000001
Anhui-Coal,2017,2048,158363.79428571434,8584.704000000002
Anhui-Coal,2017,2053,142527.4148571429,7726.233600000001
Anhui-Gas,2017,2023,271542.8571428571,26100.0
Anhui-Gas,2017,2028,217234.28571428568,20880.0
Anhui-Gas,2017,2033,173787.42857142855,16704.0
Beijing-Biomass,2012,2023,715982.142857143,54000.0
Beijing-Biomass,2012,2028,572785.7142857144,43200.0
Beijing-Biomass,2012,2033,458228.5714285716,34560.0
Beijing-Biomass,2012,2038,366582.8571428573,27648.0
Beijing-Biomass,2012,2043,329924.57142857154,24883.2
Beijing-Biomass,2017,2023,715982.142857143,54000.0
Beijing-Biomass,2017,2028,572785.7142857144,43200.0
Beijing-Biomass,2017,2033,458228.5714285716,34560.0
Beijing-Biomass,2017,2038,366582.8571428573,27648.0
Beijing-Biomass,2017,2043,329924.57142857154,24883.2
Beijing-Biomass,2017,2048,296932.1142857144,22394.88
Beijing-Gas,2007,2023,271542.8571428571,26100.0
Beijing-Gas,2012,2023,271542.8571428571,26100.0
Beijing-Gas,2012,2028,217234.28571428568,20880.0
Beijing-Gas,2017,2023,271542.8571428571,26100.0
Beijing-Gas,2017,2028,217234.28571428568,20880.0
Beijing-Gas,2017,2033,173787.42857142855,16704.0
Chongqing-Biomass,2012,2023,715982.142857143,54000.0
Chongqing-Biomass,2012,2028,572785.7142857144,43200.0
Chongqing-Biomass,2012,2033,458228.5714285716,34560.0
Chongqing-Biomass,2012,2038,366582.8571428573,27648.0
Chongqing-Biomass,2012,2043,329924.57142857154,24883.2
Chongqing-Biomass,2017,2023,715982.142857143,54000.0
Chongqing-Biomass,2017,2028,572785.7142857144,43200.0
Chongqing-Biomass,2017,2033,458228.5714285716,34560.0
Chongqing-Biomass,2017,2038,366582.8571428573,27648.0
Chongqing-Biomass,2017,2043,329924.57142857154,24883.2
Chongqing-Biomass,2017,2048,296932.1142857144,22394.88
Chongqing-Coal,1992,2023,381857.14285714296,20700.0
Chongqing-Coal,1992,2028,305485.7142857144,16560.0
Chongqing-Coal,1997,2023,381857.14285714296,20700.0
Chongqing-Coal,1997,2028,305485.7142857144,16560.0
Chongqing-Coal,1997,2033,244388.5714285715,13248.0
Chongqing-Coal,2002,2023,381857.14285714296,20700.0
Chongqing-Coal,2002,2028,305485.7142857144,16560.0
Chongqing-Coal,2002,2033,244388.5714285715,13248.0
Chongqing-Coal,2002,2038,195510.85714285722,10598.400000000001
Chongqing-Coal,2007,2023,381857.14285714296,20700.0
Chongqing-Coal,2007,2028,305485.7142857144,16560.0
Chongqing-Coal,2007,2033,244388.5714285715,13248.0
Chongqing-Coal,2007,2038,195510.85714285722,10598.400000000001
Chongqing-Coal,2007,2043,175959.7714285715,9538.560000000001
Chongqing-Coal,2012,2023,381857.14285714296,20700.0
Chongqing-Coal,2012,2028,305485.7142857144,16560.0
Chongqing-Coal,2012,2033,244388.5714285715,13248.0
Chongqing-Coal,2012,2038,195510.85714285722,10598.400000000001
Chongqing-Coal,2012,2043,175959.7714285715,9538.560000000001
Chongqing-Coal,2012,2048,158363.79428571434,8584.704000000002
Chongqing-Coal,2017,2023,381857.14285714296,20700.0
Chongqing-Coal,2017,2028,305485.7142857144,16560.0
Chongqing-Coal,2017,2033,244388.5714285715,13248.0
Chongqing-Coal,2017,2038,195510.85714285722,10598.400000000001
Chongqing-Coal,2017,2043,175959.7714285715,9538.560000000001
Chongqing-Coal,2017,2048,158363.79428571434,8584.704000000002
Chongqing-Coal,2017,2053,142527.4148571429,7726.233600000001
Chongqing-Gas,2012,2023,271542.8571428571,26100.0
Chongqing-Gas,2012,2028,217234.28571428568,20880.0
East_Inner_Mongolia-Coal,1987,2023,381857.14285714296,20700.0
East_Inner_Mongolia-Coal,1992,2023,381857.14285714296,20700.0
East_Inner_Mongolia-Coal,1992,2028,305485.7142857144,16560.0
East_Inner_Mongolia-Coal,1997,2023,381857.14285714296,20700.0
East_Inner_Mongolia-Coal,1997,2028,305485.7142857144,16560.0
East_Inner_Mongolia-Coal,1997,2033,244388.5714285715,13248.0
East_Inner_Mongolia-Coal,2002,2023,381857.14285714296,20700.0
East_Inner_Mongolia-Coal,2002,2028,305485.7142857144,16560.0
East_Inner_Mongolia-Coal,2002,2033,244388.5714285715,13248.0
East_Inner_Mongolia-Coal,2002,2038,195510.85714285722,10598.400000000001
East_Inner_Mongolia-Coal,2007,2023,381857.14285714296,20700.0
East_Inner_Mongolia-Coal,2007,2028,305485.7142857144,16560.0
East_Inner_Mongolia-Coal,2007,2033,244388.5714285715,13248.0
East_Inner_Mongolia-Coal,2007,2038,195510.85714285722,10598.400000000001
East_Inner_Mongolia-Coal,2007,2043,175959.7714285715,9538.560000000001
East_Inner_Mongolia-Coal,2012,2023,381857.14285714296,20700.0
East_Inner_Mongolia-Coal,2012,2028,305485.7142857144,16560.0
East_Inner_Mongolia-Coal,2012,2033,244388.5714285715,13248.0
East_Inner_Mongolia-Coal,2012,2038,195510.85714285722,10598.400000000001
East_Inner_Mongolia-Coal,2012,2043,175959.7714285715,9538.560000000001
East_Inner_Mongolia-Coal,2012,2048,158363.79428571434,8584.704000000002
East_Inner_Mongolia-Coal,2017,2023,381857.14285714296,20700.0
East_Inner_Mongolia-Coal,2017,2028,305485.7142857144,16560.0
East_Inner_Mongolia-Coal,2017,2033,244388.5714285715,13248.0
East_Inner_Mongolia-Coal,2017,2038,195510.85714285722,10598.400000000001
East_Inner_Mongolia-Coal,2017,2043,175959.7714285715,9538.560000000001
East_Inner_Mongolia-Coal,2017,2048,158363.79428571434,8584.704000000002
East_Inner_Mongolia-Coal,2017,2053,142527.4148571429,7726.233600000001
Fujian-Biomass,2012,2023,715982.142857143,54000.0
Fujian-Biomass,2012,2028,572785.7142857144,43200.0
Fujian-Biomass,2012,2033,458228.5714285716,34560.0
Fujian-Biomass,2012,2038,366582.8571428573,27648.0
Fujian-Biomass,2012,2043,329924.57142857154,24883.2
Fujian-Biomass,2017,2023,715982.142857143,54000.0
Fujian-Biomass,2017,2028,572785.7142857144,43200.0
Fujian-Biomass,2017,2033,458228.5714285716,34560.0
Fujian-Biomass,2017,2038,366582.8571428573,27648.0
Fujian-Biomass,2017,2043,329924.57142857154,24883.2
Fujian-Biomass,2017,2048,296932.1142857144,22394.88
Fujian-Coal,1987,2023,381857.14285714296,20700.0
Fujian-Coal,1992,2023,381857.14285714296,20700.0
Fujian-Coal,1992,2028,305485.7142857144,16560.0
Fujian-Coal,1997,2023,381857.14285714296,20700.0
Fujian-Coal,1997,2028,305485.7142857144,16560.0
Fujian-Coal,1997,2033,244388.5714285715,13248.0
Fujian-Coal,2002,2023,381857.14285714296,20700.0
Fujian-Coal,2002,2028,305485.7142857144,16560.0
Fujian-Coal,2002,2033,244388.5714285715,13248.0
Fujian-Coal,2002,2038,195510.85714285722,10598.400000000001
Fujian-Coal,2007,2023,381857.14285714296,20700.0
Fujian-Coal,2007,2028,305485.7142857144,16560.0
Fujian-Coal,2007,2033,244388.5714285715,13248.0
Fujian-Coal,2007,2038,195510.85714285722,10598.400000000001
Fujian-Coal,2007,2043,175959.7714285715,9538.560000000001
Fujian-Coal,2012,2023,381857.14285714296,20700.0
Fujian-Coal,2012,2028,305485.7142857144,16560.0
Fujian-Coal,2012,2033,244388.5714285715,13248.0
Fujian-Coal,2012,2038,195510.85714285722,10598.400000000001
Fujian-Coal,2012,2043,175959.7714285715,9538.560000000001
Fujian-Coal,2012,2048,158363.79428571434,8584.704000000002
Fujian-Coal,2017,2023,381857.14285714296,20700.0
Fujian-Coal,2017,2028,305485.7142857144,16560.0
Fujian-Coal,2017,2033,244388.5714285715,13248.0
Fujian-Coal,2017,2038,195510.85714285722,10598.400000000001
Fujian-Coal,2017,2043,175959.7714285715,9538.560000000001
Fujian-Coal,2017,2048,158363.79428571434,8584.704000000002
Fujian-Coal,2017,2053,142527.4148571429,7726.233600000001
Fujian-Gas,2007,2023,271542.8571428571,26100.0
Fujian-Gas,2017,2023,271542.8571428571,26100.0
Fujian-Gas,2017,2028,217234.28571428568,20880.0
