Province,Full,Demand
Beijing,114.0 ,109.1 
Tianjin,87.5 ,83.8 
Hebei,393.4 ,372.2 
Shanxi,234.2 ,219.9 
West InnerMongolia,290.7,278.1 
East InnerMongolia,99.3,95.0 
Liaoning,242.3 ,232.1 
Jilin,80.5 ,74.8 
Heilongjiang,101.4 ,94.3 
Shanghai,157.6 ,151.5 
Jiangsu,637.4 ,618.5 
Zhejiang,483.0 ,466.8 
Anhui,242.8 ,228.7 
Fujian,248.3 ,239.3 
Jiangxi,162.7 ,156.8 
Shandong,694.0 ,675.3 
Henan,339.2 ,316.3 
Hubei,214.4 ,200.8 
Hunan,192.9 ,179.2 
Guangdong,692.6 ,668.8 
Guangxi,202.9 ,194.5 
Hainan,36.3 ,34.6 
Chongqing,118.6 ,113.5 
Sichuan,286.5 ,260.7 
Guizhou,158.6 ,146.1 
Yunnan,202.5 ,182.8 
Tibet,8.2 ,7.1 
Shaanxi,174.1 ,161.5 
Gansu,137.6 ,129.4 
Qinghai,74.2 ,70.7 
Ningxia,103.8 ,98.4 
Xinjiang,309.9 ,295.5 
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
