load_zone,fuel,period,fuel_cost
Anhui,Coal,2023,6.446821652
Anhui,Coal,2028,6.446821652
Anhui,Coal,2033,6.446821652
Anhui,Coal,2038,6.446821652
Anhui,Coal,2043,6.446821652
Anhui,Coal,2048,6.446821652
Anhui,Coal,2053,6.446821652
Anhui,Coal,2058,6.446821652
Anhui,Gas,2023,10.81186573
Anhui,Gas,2028,10.81186573
Anhui,Gas,2033,10.81186573
Anhui,Gas,2038,10.81186573
Anhui,Gas,2043,10.81186573
Anhui,Gas,2048,10.81186573
Anhui,Gas,2053,10.81186573
Anhui,Gas,2058,10.81186573
Anhui,Nuclear,2023,0.9
Anhui,Nuclear,2028,0.9
Anhui,Nuclear,2033,0.9
Anhui,Nuclear,2038,0.9
Anhui,Nuclear,2043,0.9
Anhui,Nuclear,2048,0.9
Anhui,Nuclear,2053,0.9
Anhui,Nuclear,2058,0.9
Beijing,Coal,2023,5.810860046
Beijing,Coal,2028,5.810860046
Beijing,Coal,2033,5.810860046
Beijing,Coal,2038,5.810860046
Beijing,Coal,2043,5.810860046
Beijing,Coal,2048,5.810860046
Beijing,Coal,2053,5.810860046
Beijing,Coal,2058,5.810860046
Beijing,Gas,2023,10.46057767
Beijing,Gas,2028,10.46057767
Beijing,Gas,2033,10.46057767
Beijing,Gas,2038,10.46057767
Beijing,Gas,2043,10.46057767
Beijing,Gas,2048,10.46057767
Beijing,Gas,2053,10.46057767
Beijing,Gas,2058,10.46057767
Beijing,Nuclear,2023,0.9
Beijing,Nuclear,2028,0.9
Beijing,Nuclear,2033,0.9
Beijing,Nuclear,2038,0.9
Beijing,Nuclear,2043,0.9
Beijing,Nuclear,2048,0.9
Beijing,Nuclear,2053,0.9
Beijing,Nuclear,2058,0.9
Chongqing,Coal,2023,6.428020152
Chongqing,Coal,2028,6.428020152
Chongqing,Coal,2033,6.428020152
Chongqing,Coal,2038,6.428020152
Chongqing,Coal,2043,6.428020152
Chongqing,Coal,2048,6.428020152
Chongqing,Coal,2053,6.428020152
Chongqing,Coal,2058,6.428020152
Chongqing,Gas,2023,9.094457455
Chongqing,Gas,2028,9.094457455
Chongqing,Gas,2033,9.094457455
Chongqing,Gas,2038,9.094457455
