GENERATION_PROJECT,build_year,gen_overnight_cost,gen_storage_energy_overnight_cost,gen_fixed_om,gen_energy_source
Anhui-Biomass,2007,1071428.5714285714,.,20428.571428571428,
Anhui-Biomass,2012,1071428.5714285714,.,20428.571428571428,
Anhui-Biomass,2017,1071428.5714285714,.,20428.571428571428,
Anhui-Coal,1987,571428.5714285715,.,11500.0,
Anhui-Coal,1992,571428.5714285715,.,11500.0,
Anhui-Coal,1997,571428.5714285715,.,11500.0,
Anhui-Coal,2002,571428.5714285715,.,11500.0,
Anhui-Coal,2007,571428.5714285715,.,11500.0,
Anhui-Coal,2012,571428.5714285715,.,11500.0,
Anhui-Coal,2017,571428.5714285715,.,11500.0,
Anhui-Gas,2017,314285.71428571426,.,6400.0,
Anhui-Hydro_NonPumped,1982,2080142.8571428573,.,42185.71428571428,
Anhui-Hydro_NonPumped,1987,2080142.8571428573,.,42185.71428571428,
Anhui-Hydro_NonPumped,1992,2080142.8571428573,.,42185.71428571428,
Anhui-Hydro_NonPumped,1997,2080142.8571428573,.,42185.71428571428,
Anhui-Hydro_NonPumped,2002,2080142.8571428573,.,42185.71428571428,
Anhui-Hydro_NonPumped,2007,2080142.8571428573,.,42185.71428571428,
Anhui-Hydro_NonPumped,2012,2080142.8571428573,.,42185.71428571428,
Anhui-Hydro_NonPumped,2017,2080142.8571428573,.,42185.71428571428,
Anhui-Hydro_Pumped,1997,857142.8571428573,14285.714285714286,10607.0,
Anhui-Hydro_Pumped,2007,857142.8571428573,14285.714285714286,10607.0,
Anhui-Hydro_Pumped,2012,857142.8571428573,14285.714285714286,10607.0,
Anhui-Hydro_Pumped,2017,857142.8571428573,14285.714285714286,10607.0,
Anhui-Solar_Distributed,2012,2035500.0,.,6571.428571428571,
Anhui-Solar_Distributed,2017,861400.0,.,6571.428571428571,
Anhui-Solar_Utility,2012,2035500.0,.,6571.428571428571,
Anhui-Solar_Utility,2017,861400.0,.,6571.428571428571,
Anhui-Wind_Onshore,2012,1236428.5714285714,.,20000.0,
Anhui-Wind_Onshore,2017,1152857.142857143,.,20000.0,
Beijing-Biomass,2012,1071428.5714285714,.,20428.571428571428,
Beijing-Biomass,2017,1071428.5714285714,.,20428.571428571428,
Beijing-Gas,2007,314285.71428571426,.,6400.0,
Beijing-Gas,2012,314285.71428571426,.,6400.0,
Beijing-Gas,2017,314285.71428571426,.,6400.0,
Beijing-Hydro_NonPumped,1982,2080142.8571428573,.,42185.71428571428,
Beijing-Hydro_NonPumped,1987,2080142.8571428573,.,42185.71428571428,
Beijing-Hydro_NonPumped,1992,2080142.8571428573,.,42185.71428571428,
Beijing-Hydro_NonPumped,1997,2080142.8571428573,.,42185.71428571428,
Beijing-Hydro_Pumped,1992,857142.8571428573,14285.714285714286,10607.0,
Beijing-Hydro_Pumped,1997,857142.8571428573,14285.714285714286,10607.0,
Beijing-Solar_Distributed,2012,2035500.0,.,6571.428571428571,
Beijing-Solar_Distributed,2017,861400.0,.,6571.428571428571,
Beijing-Solar_Utility,2012,2035500.0,.,6571.428571428571,
Beijing-Solar_Utility,2017,861400.0,.,6571.428571428571,
Beijing-Wind_Onshore,2007,1329642.8571428573,.,20000.0,
Beijing-Wind_Onshore,2012,1236428.5714285714,.,20000.0,
Beijing-Wind_Onshore,2017,1152857.142857143,.,20000.0,
Chongqing-Biomass,2012,1071428.5714285714,.,20428.571428571428,
Chongqing-Biomass,2017,1071428.5714285714,.,20428.571428571428,
Chongqing-Coal,1992,571428.5714285715,.,11500.0,
Chongqing-Coal,1997,571428.5714285715,.,11500.0,
Chongqing-Coal,2002,571428.5714285715,.,11500.0,
Chongqing-Coal,2007,571428.5714285715,.,11500.0,
Chongqing-Coal,2012,571428.5714285715,.,11500.0,
Chongqing-Coal,2017,571428.5714285715,.,11500.0,
Chongqing-Gas,2012,314285.71428571426,.,6400.0,
Chongqing-Hydro_NonPumped,1982,2080142.8571428573,.,42185.71428571428,
Chongqing-Hydro_NonPumped,1987,2080142.8571428573,.,42185.71428571428,
Chongqing-Hydro_NonPumped,1992,2080142.8571428573,.,42185.71428571428,
Chongqing-Hydro_NonPumped,1997,2080142.8571428573,.,42185.71428571428,
Chongqing-Hydro_NonPumped,2002,2080142.8571428573,.,42185.71428571428,
Chongqing-Hydro_NonPumped,2007,2080142.8571428573,.,42185.71428571428,
Chongqing-Hydro_NonPumped,2012,2080142.8571428573,.,42185.71428571428,
Chongqing-Hydro_NonPumped,2017,2080142.8571428573,.,42185.71428571428,
Chongqing-Solar_Distributed,2017,861400.0,.,6571.428571428571,
Chongqing-Solar_Utility,2017,861400.0,.,6571.428571428571,
Chongqing-Wind_Onshore,2007,1329642.8571428573,.,20000.0,
Chongqing-Wind_Onshore,2012,1236428.5714285714,.,20000.0,
Chongqing-Wind_Onshore,2017,1152857.142857143,.,20000.0,
East_Inner_Mongolia-Coal,1987,571428.5714285715,.,11500.0,
East_Inner_Mongolia-Coal,1992,571428.5714285715,.,11500.0,
East_Inner_Mongolia-Coal,1997,571428.5714285715,.,11500.0,
East_Inner_Mongolia-Coal,2002,571428.5714285715,.,11500.0,
East_Inner_Mongolia-Coal,2007,571428.5714285715,.,11500.0,
East_Inner_Mongolia-Coal,2012,571428.5714285715,.,11500.0,
East_Inner_Mongolia-Coal,2017,571428.5714285715,.,11500.0,
East_Inner_Mongolia-Hydro_NonPumped,1982,2080142.8571428573,.,42185.71428571428,
East_Inner_Mongolia-Hydro_NonPumped,1987,2080142.8571428573,.,42185.71428571428,
East_Inner_Mongolia-Hydro_NonPumped,1992,2080142.8571428573,.,42185.71428571428,
East_Inner_Mongolia-Hydro_NonPumped,1997,2080142.8571428573,.,42185.71428571428,
East_Inner_Mongolia-Hydro_NonPumped,2002,2080142.8571428573,.,42185.71428571428,
East_Inner_Mongolia-Hydro_NonPumped,2007,2080142.8571428573,.,42185.71428571428,
East_Inner_Mongolia-Solar_Distributed,2012,2035500.0,.,6571.428571428571,
East_Inner_Mongolia-Solar_Distributed,2017,861400.0,.,6571.428571428571,
East_Inner_Mongolia-Solar_Utility,2012,2035500.0,.,6571.428571428571,
East_Inner_Mongolia-Solar_Utility,2017,861400.0,.,6571.428571428571,
East_Inner_Mongolia-Wind_Onshore,2002,1857857.1428571427,.,20000.0,
East_Inner_Mongolia-Wind_Onshore,2007,1329642.8571428573,.,20000.0,
East_Inner_Mongolia-Wind_Onshore,2012,1236428.5714285714,.,20000.0,
East_Inner_Mongolia-Wind_Onshore,2017,1152857.142857143,.,20000.0,
Fujian-Biomass,2012,1071428.5714285714,.,20428.571428571428,
Fujian-Biomass,2017,1071428.5714285714,.,20428.571428571428,
Fujian-Coal,1987,571428.5714285715,.,11500.0,
Fujian-Coal,1992,571428.5714285715,.,11500.0,
Fujian-Coal,1997,571428.5714285715,.,11500.0,
Fujian-Coal,2002,571428.5714285715,.,11500.0,
Fujian-Coal,2007,571428.5714285715,.,11500.0,
Fujian-Coal,2012,571428.5714285715,.,11500.0,
Fujian-Coal,2017,571428.5714285715,.,11500.0,
Fujian-Gas,2007,314285.71428571426,.,6400.0,
Fujian-Gas,2017,314285.71428571426,.,6400.0,
Fujian-Hydro_NonPumped,1982,2080142.8571428573,.,42185.71428571428,
Fujian-Hydro_NonPumped,1987,2080142.8571428573,.,42185.71428571428,
Fujian-Hydro_NonPumped,1992,2080142.8571428573,.,42185.71428571428,
Fujian-Hydro_NonPumped,1997,2080142.8571428573,.,42185.71428571428,
Fujian-Hydro_NonPumped,2002,2080142.8571428573,.,42185.71428571428,
Fujian-Hydro_NonPumped,2007,2080142.8571428573,.,42185.71428571428,
Fujian-Hydro_NonPumped,2012,2080142.8571428573,.,42185.71428571428,
Fujian-Hydro_NonPumped,2017,2080142.8571428573,.,42185.71428571428,
Fujian-Hydro_Pumped,2012,857142.8571428573,14285.714285714286,10607.0,
Fujian-Hydro_Pumped,2017,857142.8571428573,14285.714285714286,10607.0,
Fujian-Nuclear,2012,2285714.285714286,.,100000.0,
Fujian-Nuclear,2017,2285714.285714286,.,100000.0,
Fujian-Solar_Distributed,2012,2035500.0,.,6571.428571428571,
Fujian-Solar_Distributed,2017,861400.0,.,6571.428571428571,
Fujian-Solar_Utility,2012,2035500.0,.,6571.428571428571,
Fujian-Solar_Utility,2017,861400.0,.,6571.428571428571,
Fujian-Wind_Offshore_Near,2012,2700000.0,.,25000.0,
Fujian-Wind_Offshore_Near,2017,2200000.0,.,25000.0,
Fujian-Wind_Onshore,2002,1857857.1428571427,.,20000.0,
Fujian-Wind_Onshore,2007,1329642.8571428573,.,20000.0,
Fujian-Wind_Onshore,2012,1236428.5714285714,.,20000.0,
Fujian-Wind_Onshore,2017,1152857.142857143,.,20000.0,
Gansu-Biomass,2012,1071428.5714285714,.,20428.571428571428,
Gansu-Coal,1987,571428.5714285715,.,11500.0,
Gansu-Coal,1992,571428.5714285715,.,11500.0,
Gansu-Coal,1997,571428.5714285715,.,11500.0,
Gansu-Coal,2002,571428.5714285715,.,11500.0,
Gansu-Coal,2007,571428.5714285715,.,11500.0,
Gansu-Coal,2012,571428.5714285715,.,11500.0,
Gansu-Coal,2017,571428.5714285715,.,11500.0,
Gansu-Hydro_NonPumped,1982,2080142.8571428573,.,42185.71428571428,
Gansu-Hydro_NonPumped,1987,2080142.8571428573,.,42185.71428571428,
Gansu-Hydro_NonPumped,1992,2080142.8571428573,.,42185.71428571428,
Gansu-Hydro_NonPumped,1997,2080142.8571428573,.,42185.71428571428,
Gansu-Hydro_NonPumped,2002,2080142.8571428573,.,42185.71428571428,
Gansu-Hydro_NonPumped,2007,2080142.8571428573,.,42185.71428571428,
Gansu-Hydro_NonPumped,2012,2080142.8571428573,.,42185.71428571428,
Gansu-Hydro_NonPumped,2017,2080142.8571428573,.,42185.71428571428,
Gansu-Solar_Distributed,2012,2035500.0,.,6571.428571428571,
Gansu-Solar_Distributed,2017,861400.0,.,6571.428571428571,
Gansu-Solar_Utility,2012,2035500.0,.,6571.428571428571,
Gansu-Solar_Utility,2017,861400.0,.,6571.428571428571,
Gansu-Wind_Onshore,2002,1857857.1428571427,.,20000.0,
Gansu-Wind_Onshore,2007,1329642.8571428573,.,20000.0,
Gansu-Wind_Onshore,2012,1236428.5714285714,.,20000.0,
Gansu-Wind_Onshore,2017,1152857.142857143,.,20000.0,
Guangdong-Biomass,2012,1071428.5714285714,.,20428.571428571428,
Guangdong-Biomass,2017,1071428.5714285714,.,20428.571428571428,
Guangdong-Coal,1987,571428.5714285715,.,11500.0,
Guangdong-Coal,1992,571428.5714285715,.,11500.0,
Guangdong-Coal,1997,571428.5714285715,.,11500.0,
Guangdong-Coal,2002,571428.5714285715,.,11500.0,
Guangdong-Coal,2007,571428.5714285715,.,11500.0,
Guangdong-Coal,2012,571428.5714285715,.,11500.0,
