GENERATION_PROJECT,gen_dbid,gen_tech,gen_energy_source,gen_load_zone,gen_max_age,gen_is_variable,gen_is_flexible_baseload,gen_is_baseload,gen_can_provide_spinning_reserves,gen_ramp_rate_10min,gen_can_provide_quickstart_reserves,gen_full_load_heat_rate,gen_variable_om,gen_connect_cost_per_mw,gen_scheduled_outage_rate,gen_forced_outage_rate,gen_capacity_limit_mw,gen_min_build_capacity,gen_is_cogen,gen_storage_efficiency,gen_min_load_fraction,gen_is_pumped_hydro,gen_min_uptime,gen_min_downtime,gen_startup_om,gen_ccs_capture_efficiency,ccs_variable_om,gen_ccs_energy_load,gen_storage_energy_to_power_ratio,ccs_transport_cost,ccs_storage_cost
Beijing-Biomass,0,Biomass,Biomass,Beijing,35,False,True,False,True,0.2,False,13.1,5,300,0.15,0.05,.,.,False,.,0.4,False,8,8,70,0.92,3.3,0.3,.,5.0,5
Beijing-Coal,1,Coal,Coal,Beijing,40,False,True,False,True,0.2,False,7.955988900148692,5,300,0.25,0.05,.,.,False,.,0.7,False,8,8,150,0.92,2.2,0.17,.,5.0,5
Beijing-Gas,2,Gas,Gas,Beijing,20,False,False,False,True,0.7,True,6.86,2,300,0.65,0.0224,.,.,False,.,0.3,False,4,2,42,0.92,3.7,0.12,.,5.0,5
Beijing-Hydro_NonPumped,3,Hydro_NonPumped,Hydro,Beijing,80,False,False,False,True,1.0,True,.,0,300,0.094,0.051,735.8299999999999,.,False,.,0.3,False,.,.,.,.,.,.,.,5.0,5
Beijing-Hydro_Pumped,4,Hydro_Pumped,Hydro,Beijing,80,False,False,False,True,1.0,True,.,0,300,0.094,0.051,842.0,.,False,0.74,0.4,True,.,.,.,.,.,.,.,5.0,5
Beijing-Solar_Distributed,5,Solar_Distributed,Solar,Beijing,25,True,False,False,True,1.0,False,.,0,3000,0.0,0.02,37104.03972427306,.,False,.,0.0,False,.,.,.,.,.,.,.,5.0,5
Beijing-Solar_Utility,6,Solar_Utility,Solar,Beijing,25,True,False,False,True,1.0,False,.,0,3000,0.0,0.02,4904.03959227326,.,False,.,0.0,False,.,.,.,.,.,.,.,5.0,5
Beijing-Wind_Onshore,7,Wind_Onshore,Wind,Beijing,25,True,False,False,True,1.0,False,.,0,3000,0.0139,0.02,2523.23512952037,.,False,.,0.0,False,.,.,.,.,.,.,.,5.0,5
Beijing-Nuclear,8,Nuclear,Nuclear,Beijing,60,False,False,True,False,0.0,False,.,3,300,0.1112,0.0272,.,.,False,.,1.0,False,.,.,.,.,.,.,.,5.0,5
Beijing-CAS,11,CAS,Storage,Beijing,30,False,False,False,True,1.0,True,.,0,3000,0.0055,0.02,.,.,False,0.55,0.0,False,.,.,.,.,.,0,.,5.0,5
Beijing-Battery,12,Battery,Storage,Beijing,12,False,False,False,True,1.0,True,.,0,3000,0.0055,0.02,.,.,False,0.88,0.0,False,.,.,.,.,.,0,.,5.0,5
Tianjin-Biomass,13,Biomass,Biomass,Tianjin,35,False,True,False,True,0.2,False,13.1,5,300,0.15,0.05,.,.,False,.,0.4,False,8,8,70,0.92,3.3,0.3,.,0.8411223545960335,5
Tianjin-Coal,14,Coal,Coal,Tianjin,40,False,True,False,True,0.2,False,7.955988900148692,5,300,0.25,0.05,.,.,False,.,0.7,False,8,8,150,0.92,2.2,0.17,.,0.8411223545960335,5
Tianjin-Gas,15,Gas,Gas,Tianjin,20,False,False,False,True,0.7,True,6.86,2,300,0.65,0.0224,.,.,False,.,0.3,False,4,2,42,0.92,3.7,0.12,.,0.8411223545960335,5
Tianjin-Hydro_NonPumped,16,Hydro_NonPumped,Hydro,Tianjin,80,False,False,False,True,1.0,True,.,0,300,0.094,0.051,16.89,.,False,.,0.3,False,.,.,.,.,.,.,.,0.8411223545960335,5
Tianjin-Hydro_Pumped,17,Hydro_Pumped,Hydro,Tianjin,80,False,False,False,True,1.0,True,.,0,300,0.094,0.051,20.0,.,False,0.74,0.4,True,.,.,.,.,.,.,.,0.8411223545960335,5
Tianjin-Solar_Distributed,18,Solar_Distributed,Solar,Tianjin,25,True,False,False,True,1.0,False,.,0,3000,0.0,0.02,33811.569212225055,.,False,.,0.0,False,.,.,.,.,.,.,.,0.8411223545960335,5
Tianjin-Solar_Utility,19,Solar_Utility,Solar,Tianjin,25,True,False,False,True,1.0,False,.,0,3000,0.0,0.02,24596.09632234664,.,False,.,0.0,False,.,.,.,.,.,.,.,0.8411223545960335,5
Tianjin-Wind_Onshore,20,Wind_Onshore,Wind,Tianjin,25,True,False,False,True,1.0,False,.,0,3000,0.0139,0.02,1285.6978223490125,.,False,.,0.0,False,.,.,.,.,.,.,.,0.8411223545960335,5
Tianjin-Nuclear,21,Nuclear,Nuclear,Tianjin,60,False,False,True,False,0.0,False,.,3,300,0.1112,0.0272,.,.,False,.,1.0,False,.,.,.,.,.,.,.,0.8411223545960335,5
Tianjin-Wind_Offshore_Near,22,Wind_Offshore,Wind,Tianjin,25,True,False,False,True,1.0,False,.,0,3000,0.0139,0.02,5092.19524003114,.,False,.,0.0,False,.,.,.,.,.,.,.,0.8411223545960335,5
Tianjin-CAS,24,CAS,Storage,Tianjin,30,False,False,False,True,1.0,True,.,0,3000,0.0055,0.02,.,.,False,0.55,0.0,False,.,.,.,.,.,0,.,0.8411223545960335,5
Tianjin-Battery,25,Battery,Storage,Tianjin,12,False,False,False,True,1.0,True,.,0,3000,0.0055,0.02,.,.,False,0.88,0.0,False,.,.,.,.,.,0,.,0.8411223545960335,5
Hebei-Biomass,26,Biomass,Biomass,Hebei,35,False,True,False,True,0.2,False,13.1,5,300,0.15,0.05,.,.,False,.,0.4,False,8,8,70,0.92,3.3,0.3,.,2.15398304896377,5
Hebei-Coal,27,Coal,Coal,Hebei,40,False,True,False,True,0.2,False,7.955988900148692,5,300,0.25,0.05,.,.,False,.,0.7,False,8,8,150,0.92,2.2,0.17,.,2.15398304896377,5
Hebei-Gas,28,Gas,Gas,Hebei,20,False,False,False,True,0.7,True,6.86,2,300,0.65,0.0224,.,.,False,.,0.3,False,4,2,42,0.92,3.7,0.12,.,2.15398304896377,5
Hebei-Hydro_NonPumped,29,Hydro_NonPumped,Hydro,Hebei,80,False,False,False,True,1.0,True,.,0,300,0.094,0.051,1621.7599999999998,.,False,.,0.3,False,.,.,.,.,.,.,.,2.15398304896377,5
Hebei-Hydro_Pumped,30,Hydro_Pumped,Hydro,Hebei,80,False,False,False,True,1.0,True,.,0,300,0.094,0.051,15340.228940586452,.,False,0.74,0.4,True,.,.,.,.,.,.,.,2.15398304896377,5
Hebei-Solar_Distributed,31,Solar_Distributed,Solar,Hebei,25,True,False,False,True,1.0,False,.,0,3000,0.0,0.02,145179.2680707875,.,False,.,0.0,False,.,.,.,.,.,.,.,2.15398304896377,5
