hydro_project,timeseries,hydro_avg_flow_per_mw,hydro_min_flow_per_mw
Anhui-Hydro_NonPumped,2025.01.22,0.07885,0.039425
Anhui-Hydro_NonPumped,2025.02.08,0.104723,0.052361
Anhui-Hydro_NonPumped,2025.03.21,0.167351,0.083676
Anhui-Hydro_NonPumped,2025.04.11,0.193018,0.096509
Anhui-Hydro_NonPumped,2025.05.22,0.285421,0.14271
Anhui-Hydro_NonPumped,2025.06.16,0.429158,0.214579
Anhui-Hydro_NonPumped,2025.07.22,0.948,0.474
Anhui-Hydro_NonPumped,2025.08.19,0.634497,0.317248
Anhui-Hydro_NonPumped,2025.09.20,0.352156,0.176078
Anhui-Hydro_NonPumped,2025.10.26,0.235113,0.117556
Anhui-Hydro_NonPumped,2025.11.19,0.163244,0.081622
Anhui-Hydro_NonPumped,2025.12.16,0.099897,0.049949
Anhui-Hydro_NonPumped,2030.01.28,0.07885,0.039425
Anhui-Hydro_NonPumped,2030.02.14,0.104723,0.052361
Anhui-Hydro_NonPumped,2030.03.24,0.167351,0.083676
Anhui-Hydro_NonPumped,2030.04.15,0.193018,0.096509
Anhui-Hydro_NonPumped,2030.05.06,0.285421,0.14271
Anhui-Hydro_NonPumped,2030.06.19,0.429158,0.214579
Anhui-Hydro_NonPumped,2030.07.01,0.948,0.474
Anhui-Hydro_NonPumped,2030.08.23,0.634497,0.317248
Anhui-Hydro_NonPumped,2030.09.07,0.352156,0.176078
Anhui-Hydro_NonPumped,2030.10.31,0.235113,0.117556
Anhui-Hydro_NonPumped,2030.11.12,0.163244,0.081622
Anhui-Hydro_NonPumped,2030.12.08,0.099897,0.049949
Anhui-Hydro_NonPumped,2035.01.26,0.07885,0.039425
Anhui-Hydro_NonPumped,2035.02.24,0.104723,0.052361
Anhui-Hydro_NonPumped,2035.03.29,0.167351,0.083676
Anhui-Hydro_NonPumped,2035.04.12,0.193018,0.096509
Anhui-Hydro_NonPumped,2035.05.28,0.285421,0.14271
Anhui-Hydro_NonPumped,2035.06.28,0.429158,0.214579
Anhui-Hydro_NonPumped,2035.07.12,0.948,0.474
Anhui-Hydro_NonPumped,2035.08.10,0.634497,0.317248
Anhui-Hydro_NonPumped,2035.09.29,0.352156,0.176078
Anhui-Hydro_NonPumped,2035.10.20,0.235113,0.117556
Anhui-Hydro_NonPumped,2035.11.14,0.163244,0.081622
Anhui-Hydro_NonPumped,2035.12.25,0.099897,0.049949
Anhui-Hydro_NonPumped,2040.01.02,0.07885,0.039425
Anhui-Hydro_NonPumped,2040.02.07,0.104723,0.052361
Anhui-Hydro_NonPumped,2040.03.07,0.167351,0.083676
Anhui-Hydro_NonPumped,2040.04.19,0.193018,0.096509
Anhui-Hydro_NonPumped,2040.05.19,0.285421,0.14271
Anhui-Hydro_NonPumped,2040.06.26,0.429158,0.214579
Anhui-Hydro_NonPumped,2040.07.24,0.948,0.474
Anhui-Hydro_NonPumped,2040.08.26,0.634497,0.317248
Anhui-Hydro_NonPumped,2040.09.10,0.352156,0.176078
Anhui-Hydro_NonPumped,2040.10.13,0.235113,0.117556
Anhui-Hydro_NonPumped,2040.11.11,0.163244,0.081622
Anhui-Hydro_NonPumped,2040.12.19,0.099897,0.049949
Anhui-Hydro_NonPumped,2045.01.23,0.07885,0.039425
Anhui-Hydro_NonPumped,2045.02.05,0.104723,0.052361
Anhui-Hydro_NonPumped,2045.03.19,0.167351,0.083676
