load_zone,TIMEPOINT,zone_demand_mw
Anhui,2025.01.22.00,31717.232509659167
Beijing,2025.01.22.00,15916.85912445301
Chongqing,2025.01.22.00,15358.4747529456
East_Inner_Mongolia,2025.01.22.00,11543.862425175475
Fujian,2025.01.22.00,31529.23966741178
Gansu,2025.01.22.00,18692.174663479844
Guangdong,2025.01.22.00,77263.1838167294
Guangxi,2025.01.22.00,22636.87374476689
Guizhou,2025.01.22.00,16580.760065779952
Hainan,2025.01.22.00,4990.724605173075
Hebei,2025.01.22.00,53904.486069011175
Heilongjiang,2025.01.22.00,10520.731454227947
Henan,2025.01.22.00,45316.567118521074
Hubei,2025.01.22.00,27335.73318996832
Hunan,2025.01.22.00,28179.437343129142
Jiangsu,2025.01.22.00,81336.74520189493
Jiangxi,2025.01.22.00,21290.577477128656
Jilin,2025.01.22.00,9060.538293484722
Liaoning,2025.01.22.00,31977.038229694437
Ningxia,2025.01.22.00,13847.926307986098
Qinghai,2025.01.22.00,10373.729233112745
Shaanxi,2025.01.22.00,24439.964830470424
Shandong,2025.01.22.00,103519.77142492094
Shanghai,2025.01.22.00,21934.478036855
Shanxi,2025.01.22.00,30817.884183565016
Sichuan,2025.01.22.00,35458.720515220375
Tianjin,2025.01.22.00,10452.884910592586
Tibet,2025.01.22.00,1033.1214491624555
West_Inner_Mongolia,2025.01.22.00,36272.69022083549
Xinjiang,2025.01.22.00,40257.04258424653
Yunnan,2025.01.22.00,23044.666331255445
Zhejiang,2025.01.22.00,64054.99643182685
Anhui,2025.01.22.04,27200.53298693778
Beijing,2025.01.22.04,13901.00325655402
Chongqing,2025.01.22.04,12387.010227277771
East_Inner_Mongolia,2025.01.22.04,11143.693490218546
Fujian,2025.01.22.04,28603.1456555199
Gansu,2025.01.22.04,17770.069272274857
Guangdong,2025.01.22.04,60650.34079821718
Guangxi,2025.01.22.04,19282.14843873904
Guizhou,2025.01.22.04,14552.491637477084
Hainan,2025.01.22.04,2685.3749257130544
Hebei,2025.01.22.04,46946.121663843005
Heilongjiang,2025.01.22.04,9907.8790286239
Henan,2025.01.22.04,40720.00039653455
Hubei,2025.01.22.04,24661.03719852153
Hunan,2025.01.22.04,21610.099497014828
Jiangsu,2025.01.22.04,74804.13998113705
Jiangxi,2025.01.22.04,19160.316790419565
Jilin,2025.01.22.04,8551.708294546977
Liaoning,2025.01.22.04,29664.17129479966
Ningxia,2025.01.22.04,13352.148520088478
Qinghai,2025.01.22.04,10211.297577014666
Shaanxi,2025.01.22.04,20515.0868177798
Shandong,2025.01.22.04,94893.12380617752
Shanghai,2025.01.22.04,19098.96455556139
Shanxi,2025.01.22.04,29203.661380048223
Sichuan,2025.01.22.04,29492.05282042825
Tianjin,2025.01.22.04,9946.205066977507
Tibet,2025.01.22.04,875.9812409785983
West_Inner_Mongolia,2025.01.22.04,35153.875520431146
Xinjiang,2025.01.22.04,38115.972622777066
Yunnan,2025.01.22.04,21034.99964281779
Zhejiang,2025.01.22.04,55895.21193134185
Anhui,2025.01.22.08,28620.649466847364
Beijing,2025.01.22.08,18847.46107803838
Chongqing,2025.01.22.08,12843.857183616135
East_Inner_Mongolia,2025.01.22.08,12782.706323724731
Fujian,2025.01.22.08,29810.31896614949
Gansu,2025.01.22.08,19360.69339306328
Guangdong,2025.01.22.08,74059.3798192899
Guangxi,2025.01.22.08,21872.341147024246
Guizhou,2025.01.22.08,19272.30232006412
Hainan,2025.01.22.08,4043.9625903241135
Hebei,2025.01.22.08,54965.36156870132
Heilongjiang,2025.01.22.08,14265.33746938611
Henan,2025.01.22.08,42077.03840415792
Hubei,2025.01.22.08,24784.32632861946
Hunan,2025.01.22.08,23168.67560214557
Jiangsu,2025.01.22.08,82054.98774602001
Jiangxi,2025.01.22.08,19180.521396875367
Jilin,2025.01.22.08,10929.793841146136
Liaoning,2025.01.22.08,32010.821027901904
Ningxia,2025.01.22.08,13414.73999846654
Qinghai,2025.01.22.08,10429.332976941972
Shaanxi,2025.01.22.08,22152.1628652636
Shandong,2025.01.22.08,103519.77142492094
Shanghai,2025.01.22.08,23917.85952375771
Shanxi,2025.01.22.08,30968.53551649352
Sichuan,2025.01.22.08,30585.660077128323
Tianjin,2025.01.22.08,13484.9351707951
Tibet,2025.01.22.08,1063.1648407969228
West_Inner_Mongolia,2025.01.22.08,36377.17219388618
Xinjiang,2025.01.22.08,39041.73619942234
Yunnan,2025.01.22.08,25229.000772116982
Zhejiang,2025.01.22.08,70545.60722135563
Anhui,2025.01.22.12,33823.30878998234
Beijing,2025.01.22.12,23576.059348391736
Chongqing,2025.01.22.12,16099.14405518482
East_Inner_Mongolia,2025.01.22.12,13417.477359638897
Fujian,2025.01.22.12,35624.44588181218
Gansu,2025.01.22.12,20578.1548584072
Guangdong,2025.01.22.12,86303.61908845554
Guangxi,2025.01.22.12,26533.81960333334
Guizhou,2025.01.22.12,22156.751131138382
Hainan,2025.01.22.12,4401.490424708387
Hebei,2025.01.22.12,68878.20520877723
Heilongjiang,2025.01.22.12,13286.893159192809
Henan,2025.01.22.12,57739.69059049057
Hubei,2025.01.22.12,29169.91060408169
Hunan,2025.01.22.12,33772.21774926833
Jiangsu,2025.01.22.12,99657.33354429722
Jiangxi,2025.01.22.12,23000.122812155947
Jilin,2025.01.22.12,11556.883525466652
Liaoning,2025.01.22.12,33571.05907979748
Ningxia,2025.01.22.12,13577.658767082195
Qinghai,2025.01.22.12,10292.736427371894
Shaanxi,2025.01.22.12,28192.75329816341
Shandong,2025.01.22.12,120773.06666240776
Shanghai,2025.01.22.12,29415.040338521307
Shanxi,2025.01.22.12,34881.597640632586
Sichuan,2025.01.22.12,43565.31390963109
Tianjin,2025.01.22.12,14061.935052540248
Tibet,2025.01.22.12,1465.7618016946844
West_Inner_Mongolia,2025.01.22.12,37808.86938136694
Xinjiang,2025.01.22.12,41456.01329787057
Yunnan,2025.01.22.12,28720.82032418784
Zhejiang,2025.01.22.12,76421.67904561777
Anhui,2025.01.22.16,34534.878184588655
Beijing,2025.01.22.16,23358.19980877685
Chongqing,2025.01.22.16,17199.592363458418
East_Inner_Mongolia,2025.01.22.16,13219.3448428603
Fujian,2025.01.22.16,40253.01993386246
Gansu,2025.01.22.16,19781.721836934958
Guangdong,2025.01.22.16,107141.38928767208
Guangxi,2025.01.22.16,27702.392723110897
Guizhou,2025.01.22.16,20566.979397668954
Hainan,2025.01.22.16,4282.0667699767655
Hebei,2025.01.22.16,68291.7679520625
Heilongjiang,2025.01.22.16,17149.749145198304
Henan,2025.01.22.16,57369.99751533691
Hubei,2025.01.22.16,33903.60615512639
Hunan,2025.01.22.16,31955.71351074991
Jiangsu,2025.01.22.16,103833.99889630276
Jiangxi,2025.01.22.16,25134.79681072929
Jilin,2025.01.22.16,12684.044614291088
Liaoning,2025.01.22.16,34661.354512255304
Ningxia,2025.01.22.16,13800.698205271632
Qinghai,2025.01.22.16,10605.479493358504
Shaanxi,2025.01.22.16,28510.8010078496
Shandong,2025.01.22.16,120773.06666240776
