load_zone,TIMEPOINT,zone_demand_mw
Anhui,2025.01.22.00,27943.497123953
Beijing,2025.01.22.00,12364.3078476624
Chongqing,2025.01.22.00,13123.3983671096
East_Inner_Mongolia,2025.01.22.00,6303.845159862982
Fujian,2025.01.22.00,23356.3490300296
Gansu,2025.01.22.00,14703.75320033
Guangdong,2025.01.22.00,58353.4347377315
Guangxi,2025.01.22.00,19864.0465597758
Guizhou,2025.01.22.00,14908.7124716775
Hainan,2025.01.22.00,3958.57482429965
Hebei,2025.01.22.00,42731.3261631574
Heilongjiang,2025.01.22.00,6729.20220611984
Henan,2025.01.22.00,39111.9718089584
Hubei,2025.01.22.00,24139.0955382452
Hunan,2025.01.22.00,23455.3649248484
Jiangsu,2025.01.22.00,68855.570621064
Jiangxi,2025.01.22.00,17482.7467399624
Jilin,2025.01.22.00,7992.7272069555
Liaoning,2025.01.22.00,27776.4617257188
Ningxia,2025.01.22.00,11280.0989131277
Qinghai,2025.01.22.00,8185.52072300302
Shaanxi,2025.01.22.00,20344.031019211
Shandong,2025.01.22.00,60000.0
Shanghai,2025.01.22.00,16963.7942177806
Shanxi,2025.01.22.00,25757.7070770275
Sichuan,2025.01.22.00,29808.0812467992
Tianjin,2025.01.22.00,8550.89098041712
Tibet,2025.01.22.00,916.286590603177
West_Inner_Mongolia,2025.01.22.00,30686.8941455627
Xinjiang,2025.01.22.00,33680.5098630941
Yunnan,2025.01.22.00,19046.952917859
Zhejiang,2025.01.22.00,46432.2052498093
Anhui,2025.01.22.01,26948.67214919765
Beijing,2025.01.22.01,11972.8257353258
Chongqing,2025.01.22.01,12488.6394907994
East_Inner_Mongolia,2025.01.22.01,6249.214332873604
Fujian,2025.01.22.01,22814.44829156155
Gansu,2025.01.22.01,14522.41514923285
Guangdong,2025.01.22.01,55216.6999987502
Guangxi,2025.01.22.01,19128.096661994525
Guizhou,2025.01.22.01,14452.7793495983
Hainan,2025.01.22.01,3501.431827826835
Hebei,2025.01.22.01,41352.31227840077
Heilongjiang,2025.01.22.01,6631.205029964771
Henan,2025.01.22.01,38120.16682747043
Hubei,2025.01.22.01,23548.616204614325
Hunan,2025.01.22.01,22088.35558201637
Jiangsu,2025.01.22.01,67473.02740827342
Jiangxi,2025.01.22.01,17045.4311232789
Jilin,2025.01.22.01,7880.511485204473
Liaoning,2025.01.22.01,27274.2008578398
Ningxia,2025.01.22.01,11179.13754241345
Qinghai,2025.01.22.01,8153.478540843047
Shaanxi,2025.01.22.01,19527.2557027297
Shandong,2025.01.22.01,58750.0
Shanghai,2025.01.22.01,16415.55838652915
Shanxi,2025.01.22.01,25420.413657706573
Sichuan,2025.01.22.01,28554.12373765365
Tianjin,2025.01.22.01,8447.2697279642
Tibet,2025.01.22.01,881.4442529186317
West_Inner_Mongolia,2025.01.22.01,30450.2633079354
Xinjiang,2025.01.22.01,33232.685561272025
Yunnan,2025.01.22.01,18631.69384830865
Zhejiang,2025.01.22.01,44953.4884836474
Anhui,2025.01.22.02,25953.8471744423
Beijing,2025.01.22.02,11581.3436229892
Chongqing,2025.01.22.02,11853.8806144892
East_Inner_Mongolia,2025.01.22.02,6194.583505884226
Fujian,2025.01.22.02,22272.5475530935
Gansu,2025.01.22.02,14341.0770981357
Guangdong,2025.01.22.02,52079.9652597689
Guangxi,2025.01.22.02,18392.14676421325
Guizhou,2025.01.22.02,13996.8462275191
Hainan,2025.01.22.02,3044.28883135402
Hebei,2025.01.22.02,39973.29839364415
Heilongjiang,2025.01.22.02,6533.2078538097
Henan,2025.01.22.02,37128.36184598245
Hubei,2025.01.22.02,22958.13687098345
Hunan,2025.01.22.02,20721.34623918435
Jiangsu,2025.01.22.02,66090.48419548286
Jiangxi,2025.01.22.02,16608.1155065954
Jilin,2025.01.22.02,7768.295763453445
Liaoning,2025.01.22.02,26771.9399899608
Ningxia,2025.01.22.02,11078.1761716992
Qinghai,2025.01.22.02,8121.436358683075
Shaanxi,2025.01.22.02,18710.4803862484
Shandong,2025.01.22.02,57500.0
Shanghai,2025.01.22.02,15867.3225552777
Shanxi,2025.01.22.02,25083.12023838565
Sichuan,2025.01.22.02,27300.1662285081
Tianjin,2025.01.22.02,8343.64847551128
Tibet,2025.01.22.02,846.6019152340865
West_Inner_Mongolia,2025.01.22.02,30213.632470308097
Xinjiang,2025.01.22.02,32784.86125944995
Yunnan,2025.01.22.02,18216.4347787583
Zhejiang,2025.01.22.02,43474.77171748551
Anhui,2025.01.22.03,24959.022199686948
Beijing,2025.01.22.03,11189.8615106526
Chongqing,2025.01.22.03,11219.121738179
East_Inner_Mongolia,2025.01.22.03,6139.952678894847
Fujian,2025.01.22.03,21730.64681462545
Gansu,2025.01.22.03,14159.73904703855
Guangdong,2025.01.22.03,48943.2305207876
Guangxi,2025.01.22.03,17656.196866431976
Guizhou,2025.01.22.03,13540.9131054399
Hainan,2025.01.22.03,2587.145834881205
Hebei,2025.01.22.03,38594.284508887526
Heilongjiang,2025.01.22.03,6435.21067765463
Henan,2025.01.22.03,36136.55686449447
Hubei,2025.01.22.03,22367.657537352577
Hunan,2025.01.22.03,19354.336896352324
Jiangsu,2025.01.22.03,64707.94098269228
Jiangxi,2025.01.22.03,16170.7998899119
Jilin,2025.01.22.03,7656.0800417024175
Liaoning,2025.01.22.03,26269.6791220818
Ningxia,2025.01.22.03,10977.214800984952
Qinghai,2025.01.22.03,8089.394176523103
Shaanxi,2025.01.22.03,17893.7050697671
Shandong,2025.01.22.03,56250.0
