regional_fuel_market,fuel
Tibet,Biomass
Shanxi,Biomass
West_Inner_Mongolia,Biomass
Anhui,Biomass
Jiangxi,Biomass
Henan,Biomass
Hubei,Biomass
Hunan,Biomass
East_Inner_Mongolia,Biomass
Jilin,Biomass
Heilongjiang,Biomass
Beijing,Biomass
Sichuan,Biomass
Guizhou,Biomass
Yunnan,Biomass
Shaanxi,Biomass
Gansu,Biomass
Qinghai,Biomass
Ningxia,Biomass
Xinjiang,Biomass
Chongqing,Biomass
Shanghai,Biomass
Tianjin,Biomass
Jiangsu,Biomass
Zhejiang,Biomass
Hebei,Biomass
Fujian,Biomass
Shandong,Biomass
Liaoning,Biomass
Guangdong,Biomass
Guangxi,Biomass
Hainan,Biomass
