TRANSMISSION_LINE,trans_dbid,trans_lz1,trans_lz2,trans_length_km,trans_efficiency,existing_trans_cap,trans_new_build_allowed,trans_new_build_cap,trans_capital_cost_per_mw
Anhui-Henan,1,Anhui,Henan,465.819,0.971055,0,True,31600,139745.7
Anhui-Jiangsu,3,Anhui,Jiangsu,142.72,0.991132,7500,True,31600,42816.0
Anhui-Jiangxi,4,Anhui,Jiangxi,378.223,0.976498,0,True,31600,113466.9
Anhui-Shandong,5,Anhui,Shandong,534.737,0.966773,0,True,31600,160421.1
Anhui-Zhejiang,6,Anhui,Zhejiang,327.053,0.979678,2500,True,31600,98115.9
Chongqing-Hebei,10,Chongqing,Hebei,1196.49,0.925654,4000,True,31600,358947.0
Chongqing-Hubei,11,Chongqing,Hubei,757.077,0.952957,2500,True,31600,227123.1
Chongqing-Hunan,12,Chongqing,Hunan,647.775,0.959749,2500,True,31600,194332.5
East_Inner_Mongolia-Beijing,15,East_Inner_Mongolia,Beijing,856.281,0.946793,5000,True,31600,256884.3
East_Inner_Mongolia-Hebei,16,East_Inner_Mongolia,Hebei,1111.45,0.930938,4000,True,31600,333435.0
East_Inner_Mongolia-Heilongjiang,17,East_Inner_Mongolia,Heilongjiang,504.876,0.968628,2500,True,31600,151462.8
East_Inner_Mongolia-Jiangsu,18,East_Inner_Mongolia,Jiangsu,1675.78,0.895872,7200,True,31600,502734.0
East_Inner_Mongolia-Jilin,19,East_Inner_Mongolia,Jilin,524.246,0.967425,2500,True,31600,157273.8
East_Inner_Mongolia-Liaoning,20,East_Inner_Mongolia,Liaoning,634.827,0.960554,6500,True,31600,190448.1
East_Inner_Mongolia-Shandong,21,East_Inner_Mongolia,Shandong,1189.06,0.926115,14400,True,31600,356718.0
East_Inner_Mongolia-Tianjin,22,East_Inner_Mongolia,Tianjin,918.685,0.942916,4000,True,31600,275605.5
Fujian-Jiangxi,25,Fujian,Jiangxi,442.654,0.972495,0,True,31600,132796.2
Fujian-Zhejiang,26,Fujian,Zhejiang,473.207,0.970596,2500,True,31600,141962.1
Gansu-Jiangsu,27,Gansu,Jiangsu,1452.51,0.909745,7200,True,31600,435753.0
Gansu-Ningxia,28,Gansu,Ningxia,347.844,0.978386,2500,True,31600,104353.2
Gansu-Shaanxi,30,Gansu,Shaanxi,513.414,0.968098,2500,True,31600,154024.2
Gansu-Sichuan,31,Gansu,Sichuan,602.017,0.962592,0,True,31600,180605.1
Guangdong-Fujian,34,Guangdong,Fujian,693.238,0.956924,0,True,31600,207971.4
Guangxi-Guangdong,39,Guangxi,Guangdong,507.929,0.968439,2500,True,31600,152378.7
Guangxi-Hunan,41,Guangxi,Hunan,760.987,0.952715,0,True,31600,228296.1
Guizhou-Chongqing,43,Guizhou,Chongqing,332.092,0.979365,0,True,31600,99627.6
Guizhou-Guangxi,44,Guizhou,Guangxi,449.322,0.97208,2500,True,31600,134796.6
Guizhou-Hunan,45,Guizhou,Hunan,644.732,0.959938,0,True,31600,193419.6
Guizhou-Jiangsu,46,Guizhou,Jiangsu,1316.98,0.918167,7200,True,31600,395094.0
Guizhou-Sichuan,47,Guizhou,Sichuan,521.604,0.967589,0,True,31600,156481.2
Hebei-Anhui,49,Hebei,Anhui,732.678,0.954473,4000,True,31600,219803.4
Hebei-Beijing,50,Hebei,Beijing,265.22,0.98352,6500,True,31600,79566.0
Hebei-Henan,52,Hebei,Henan,373.259,0.976807,4000,True,31600,111977.7
Hebei-Shandong,54,Hebei,Shandong,270.032,0.983221,2500,True,31600,81009.6
Hebei-Tianjin,56,Hebei,Tianjin,264.963,0.983536,2500,True,31600,79488.9
Heilongjiang-Jilin,59,Heilongjiang,Jilin,230.727,0.985663,2500,True,31600,69218.1
Henan-Shandong,64,Henan,Shandong,369.949,0.977012,0,True,31600,110984.7
Hubei-Anhui,67,Hubei,Anhui,318.212,0.980227,0,True,31600,95463.6
