GENERATION_PROJECT,timepoint,gen_max_capacity_factor
Anhui-Solar_Distributed,2025.01.22.00,0.0
Anhui-Solar_Distributed,2025.01.22.04,0.0
Anhui-Solar_Distributed,2025.01.22.08,0.0301691785458111
Anhui-Solar_Distributed,2025.01.22.12,0.1941085730011697
Anhui-Solar_Distributed,2025.01.22.16,0.0310235195515571
Anhui-Solar_Distributed,2025.01.22.20,0.0
Anhui-Solar_Distributed,2025.02.08.00,0.0
Anhui-Solar_Distributed,2025.02.08.04,0.0
Anhui-Solar_Distributed,2025.02.08.08,0.2383043316018684
Anhui-Solar_Distributed,2025.02.08.12,0.6123603655009798
Anhui-Solar_Distributed,2025.02.08.16,0.109806162921792
Anhui-Solar_Distributed,2025.02.08.20,0.0
Anhui-Solar_Distributed,2025.03.21.00,0.0
Anhui-Solar_Distributed,2025.03.21.04,0.0
Anhui-Solar_Distributed,2025.03.21.08,0.3686553811323854
Anhui-Solar_Distributed,2025.03.21.12,0.6430567285408207
Anhui-Solar_Distributed,2025.03.21.16,0.1192865094808017
Anhui-Solar_Distributed,2025.03.21.20,0.0
Anhui-Solar_Distributed,2025.04.11.00,0.0
Anhui-Solar_Distributed,2025.04.11.04,0.0
Anhui-Solar_Distributed,2025.04.11.08,0.1556427920677012
Anhui-Solar_Distributed,2025.04.11.12,0.4137721166668616
Anhui-Solar_Distributed,2025.04.11.16,0.1901438976366902
Anhui-Solar_Distributed,2025.04.11.20,0.0
Anhui-Solar_Distributed,2025.05.22.00,0.0
Anhui-Solar_Distributed,2025.05.22.04,0.0
Anhui-Solar_Distributed,2025.05.22.08,0.3693465396792936
Anhui-Solar_Distributed,2025.05.22.12,0.5971107538459041
Anhui-Solar_Distributed,2025.05.22.16,0.2444664600068333
Anhui-Solar_Distributed,2025.05.22.20,0.0
Anhui-Solar_Distributed,2025.06.16.00,0.0
Anhui-Solar_Distributed,2025.06.16.04,0.0
Anhui-Solar_Distributed,2025.06.16.08,0.1072784497296079
Anhui-Solar_Distributed,2025.06.16.12,0.292793173413525
Anhui-Solar_Distributed,2025.06.16.16,0.1247613183235328
Anhui-Solar_Distributed,2025.06.16.20,0.0
Anhui-Solar_Distributed,2025.07.22.00,0.0
Anhui-Solar_Distributed,2025.07.22.04,0.0
Anhui-Solar_Distributed,2025.07.22.08,0.1878945959223748
Anhui-Solar_Distributed,2025.07.22.12,0.276250973450361
